sel_index,task_id,row_idx,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot
0,7488,7488,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774
1,5075,5075,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663
2,9426,9426,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516
3,4691,4691,2.100474915634826e-06,-4.982038469938676,0.048625215402397386,0.0,-2456.3279962230113,497.2777140016805,-4.668016598311965e-07,913501.7012965053
