study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
ahratio,1,5075,5075,28368,40,10,0.10555555555555556,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,4.7711073234677315,3.163651662995901e-09,2.4615528112295117e-09,1.440884936927731e-06,0.056365934012527985,0.1829832701256829,6.761888027191162
ahratio,1,5075,5075,28365,40,10,0.2111111111111111,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-2.432111243251711,2.501529796320605e-09,2.2894528415609225e-09,-7.345029607900139e-07,0.04456908612253956,0.17018995726445701,6.985594034194946
ahratio,1,5075,5075,28362,40,10,0.31666666666666665,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-6.5436210804618895,1.4149219487081165e-09,2.0197154889209227e-09,-1.9761880017713398e-06,0.025209285246731203,0.15013862111763743,9.679860830307007
ahratio,1,5075,5075,28363,40,10,0.4222222222222222,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-8.353697220329195,-7.169627087458985e-11,1.676337606250484e-09,-2.522834989106655e-06,-0.0012773932479135583,0.12461310422714829,6.643061637878418
ahratio,1,5075,5075,28369,40,10,0.5277777777777778,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-8.235804817639291,-1.925778589506346e-09,1.2897404288341797e-09,-2.4872312234192724e-06,-0.03431108113718858,0.0958748153623808,6.449894905090332
ahratio,1,5075,5075,28368,40,10,0.6333333333333333,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-6.123172253835946,-4.108228290885771e-09,8.938543196524543e-10,-1.849211528604532e-06,-0.0731952027023046,0.06644601963436136,6.423760175704956
ahratio,1,5075,5075,28365,40,10,0.7388888888888889,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-1.093627869617194,-6.575090403427598e-09,5.226549183308401e-10,-3.3027802920820987e-07,-0.11714662399179761,0.038852347862355814,8.122488975524902
ahratio,1,5075,5075,28359,40,10,0.8444444444444444,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,10.823472953867167,-9.279234768313373e-09,2.0618643844590914e-10,3.268712709052388e-06,-0.1653256395940278,0.015327182333965583,10.755109310150146
ahratio,1,5075,5075,28363,40,10,0.95,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,56.79386166576296,-1.2171662334807133e-08,-3.425757954316657e-11,1.7151871512434785e-05,-0.21685924655081096,-0.0025465892516310694,7.3109376430511475
ahratio,2,9426,9426,28369,40,10,0.0,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,435.0956493355334,8.278219040939164e-09,1.505368700294227e-09,7.803280523724846e-05,0.3065422282632591,0.8741472521603779,17.051297903060913
