task_id,pid,avg_u
4.300000000000000000e+01,4.028400000000000000e+04,1.841985450934030197e-02
4.400000000000000000e+01,4.028300000000000000e+04,2.147834452439273921e-03
4.500000000000000000e+01,4.028500000000000000e+04,2.697576277799183103e-03
4.600000000000000000e+01,4.028600000000000000e+04,2.043433704971028830e-02
4.700000000000000000e+01,4.028400000000000000e+04,4.743574919434724070e-03
4.800000000000000000e+01,4.028500000000000000e+04,3.212671622170942213e-03
4.900000000000000000e+01,4.028300000000000000e+04,5.922625565978380420e-03
5.000000000000000000e+01,4.028600000000000000e+04,2.040874553590388621e-02
5.100000000000000000e+01,4.028400000000000000e+04,2.708776513869127003e-02
5.200000000000000000e+01,4.028500000000000000e+04,1.523861932166214713e-03
5.300000000000000000e+01,4.028600000000000000e+04,2.412454693554667851e-02
5.400000000000000000e+01,4.028300000000000000e+04,4.616825661099368031e-04
5.500000000000000000e+01,4.028400000000000000e+04,3.083550712035332611e-03
5.600000000000000000e+01,4.028500000000000000e+04,1.264648683764385767e-03
5.700000000000000000e+01,4.028600000000000000e+04,1.644179001266626861e-02
5.800000000000000000e+01,4.028500000000000000e+04,4.140807573848668405e-02
5.900000000000000000e+01,4.028300000000000000e+04,7.525268935301569588e-03
6.000000000000000000e+01,4.028400000000000000e+04,2.140222445560674772e-02
6.100000000000000000e+01,4.028500000000000000e+04,1.224146971969784781e-02
6.200000000000000000e+01,4.028300000000000000e+04,1.049049371324747154e-01
6.300000000000000000e+01,4.028600000000000000e+04,1.177762485484794008e-01
6.400000000000000000e+01,4.028400000000000000e+04,6.683926119311059920e-03
6.500000000000000000e+01,4.028500000000000000e+04,1.309240656959150201e-03
6.600000000000000000e+01,4.028300000000000000e+04,3.843414646420966526e-03
6.700000000000000000e+01,4.028600000000000000e+04,1.554807353754499195e-02
6.800000000000000000e+01,4.028400000000000000e+04,7.828460071625315680e-03
6.900000000000000000e+01,4.028500000000000000e+04,1.313857765901977996e-02
7.000000000000000000e+01,4.028300000000000000e+04,4.950071591578175667e-03
7.100000000000000000e+01,4.028600000000000000e+04,8.977849968565432270e-03
7.200000000000000000e+01,4.028400000000000000e+04,1.295767355883695703e-02
7.300000000000000000e+01,4.028500000000000000e+04,7.748314779266880781e-02
7.400000000000000000e+01,4.028300000000000000e+04,7.532496840386099755e-03
7.500000000000000000e+01,4.028600000000000000e+04,1.869657163285531540e-02
7.600000000000000000e+01,4.028400000000000000e+04,1.995392501850336807e-03
7.700000000000000000e+01,4.028500000000000000e+04,4.439766369019913783e-02
7.800000000000000000e+01,4.028300000000000000e+04,1.387098762790332611e-02
7.900000000000000000e+01,4.028600000000000000e+04,1.578753349134939116e-02
8.000000000000000000e+01,4.028400000000000000e+04,1.913726473520414514e-02
8.100000000000000000e+01,4.028500000000000000e+04,1.241175747892386307e-02
8.200000000000000000e+01,4.028300000000000000e+04,1.186516902282020933e-02
8.300000000000000000e+01,4.028600000000000000e+04,2.333726591191002675e-01
8.400000000000000000e+01,4.028400000000000000e+04,1.377866000641232713e-02
8.500000000000000000e+01,4.028500000000000000e+04,2.498005285009697457e-02
8.600000000000000000e+01,4.028300000000000000e+04,2.187681440614142742e-02
8.700000000000000000e+01,4.028600000000000000e+04,3.530224890936702661e-03
8.800000000000000000e+01,4.028400000000000000e+04,8.495366661122136925e-03
8.900000000000000000e+01,4.028500000000000000e+04,2.480067436600824279e-02
9.000000000000000000e+01,4.028300000000000000e+04,1.286062960276709638e-03
9.100000000000000000e+01,4.028600000000000000e+04,1.717854908641228443e-03
9.200000000000000000e+01,4.028400000000000000e+04,4.298762002072202895e-03
9.300000000000000000e+01,4.028500000000000000e+04,5.445454563627634414e-02
9.400000000000000000e+01,4.028300000000000000e+04,3.608484055195014268e-03
9.500000000000000000e+01,4.028600000000000000e+04,1.124389831233585206e-02
9.600000000000000000e+01,4.028400000000000000e+04,3.567104888586044437e-02
9.700000000000000000e+01,4.028500000000000000e+04,8.456802491230540342e-02
9.800000000000000000e+01,4.028300000000000000e+04,1.937771976825982193e-02
9.900000000000000000e+01,4.028600000000000000e+04,2.652307538148023554e-03
1.000000000000000000e+02,4.028400000000000000e+04,8.835613780406475527e-04
1.010000000000000000e+02,4.028500000000000000e+04,1.127628883440552968e-02
1.020000000000000000e+02,4.028300000000000000e+04,1.942035705985957483e-02
1.030000000000000000e+02,4.028400000000000000e+04,4.979706267708487732e-03
1.040000000000000000e+02,4.028600000000000000e+04,2.184772786395485639e-02
1.050000000000000000e+02,4.028500000000000000e+04,7.429457789556376431e-03
1.060000000000000000e+02,4.028300000000000000e+04,2.001777768386257469e-02
1.070000000000000000e+02,4.028400000000000000e+04,3.251417952963855246e-02
1.080000000000000000e+02,4.028600000000000000e+04,1.379252775258075873e-02
1.090000000000000000e+02,4.028500000000000000e+04,1.678554795576156500e-02
1.100000000000000000e+02,4.028300000000000000e+04,9.205460879103264521e-03
1.110000000000000000e+02,4.028600000000000000e+04,4.456267871199629665e-03
1.120000000000000000e+02,4.028400000000000000e+04,4.183818747609917288e-03
1.130000000000000000e+02,4.028500000000000000e+04,1.899032330858328732e-02
1.140000000000000000e+02,4.028300000000000000e+04,1.083606912809534015e-02
1.150000000000000000e+02,4.028400000000000000e+04,4.590317483357899721e-03
1.160000000000000000e+02,4.028600000000000000e+04,1.266962096247688761e-02
1.170000000000000000e+02,4.028600000000000000e+04,2.629303243234759960e-02
1.180000000000000000e+02,4.028400000000000000e+04,4.196497666078819605e-02
1.190000000000000000e+02,4.028500000000000000e+04,2.638533530188713269e-02
1.200000000000000000e+02,4.028300000000000000e+04,1.660306266896739436e-01
1.210000000000000000e+02,4.028600000000000000e+04,3.907562566796849574e-02
1.220000000000000000e+02,4.028400000000000000e+04,9.496063931434234329e-03
1.230000000000000000e+02,4.028500000000000000e+04,5.852171056309647679e-03
1.240000000000000000e+02,4.028300000000000000e+04,2.273897485550277139e-02
1.250000000000000000e+02,4.028600000000000000e+04,5.517683003093476653e-03
1.260000000000000000e+02,4.028400000000000000e+04,9.543697685748829540e-03
1.270000000000000000e+02,4.028500000000000000e+04,2.054427421750478974e-02
1.280000000000000000e+02,4.028300000000000000e+04,1.229303883033129770e-02
1.290000000000000000e+02,4.028600000000000000e+04,2.083683366148743332e-02
1.300000000000000000e+02,4.028400000000000000e+04,3.518441776102990658e-03
1.310000000000000000e+02,4.028500000000000000e+04,7.604068800919704975e-03
1.320000000000000000e+02,4.028300000000000000e+04,1.225228327931936062e-01
1.330000000000000000e+02,4.028600000000000000e+04,1.311359529256984728e-02
1.340000000000000000e+02,4.028400000000000000e+04,5.376325386423428353e-03
1.350000000000000000e+02,4.028500000000000000e+04,1.675344123462188528e-02
1.360000000000000000e+02,4.028300000000000000e+04,2.732323984110841125e-02
1.370000000000000000e+02,4.028600000000000000e+04,1.846836089316030230e-02
1.380000000000000000e+02,4.028400000000000000e+04,7.717910820698049845e-02
1.390000000000000000e+02,4.028500000000000000e+04,2.886055417900030423e-02
1.400000000000000000e+02,4.028600000000000000e+04,4.679156431097755003e-03
1.410000000000000000e+02,4.028300000000000000e+04,4.398321494034202611e-02
1.420000000000000000e+02,4.028500000000000000e+04,6.396372418949596364e-03
1.430000000000000000e+02,4.028400000000000000e+04,5.698976152235296112e-03
1.440000000000000000e+02,4.028600000000000000e+04,1.719076300546886621e-02
1.450000000000000000e+02,4.028500000000000000e+04,1.293709721164557902e-01
1.460000000000000000e+02,4.028300000000000000e+04,2.171509532521774880e-02
1.470000000000000000e+02,4.028600000000000000e+04,7.274917064581370302e-03
1.480000000000000000e+02,4.028500000000000000e+04,1.705879463141274019e-02
1.490000000000000000e+02,4.028400000000000000e+04,7.848772184899193566e-03
1.500000000000000000e+02,4.028600000000000000e+04,6.904950270586157623e-03
1.510000000000000000e+02,4.028300000000000000e+04,9.804770799556848659e-03
1.520000000000000000e+02,4.028500000000000000e+04,1.494446294866190288e-02
1.530000000000000000e+02,4.028600000000000000e+04,1.513465850321294359e-03
1.540000000000000000e+02,4.028400000000000000e+04,7.586550815748871468e-02
1.550000000000000000e+02,4.028500000000000000e+04,1.198145994931809101e-02
1.560000000000000000e+02,4.028600000000000000e+04,1.262505620688559316e-01
1.570000000000000000e+02,4.028300000000000000e+04,4.660869619286211324e-02
1.580000000000000000e+02,4.028500000000000000e+04,2.918803171850246469e-03
1.590000000000000000e+02,4.028400000000000000e+04,5.345651839103189584e-03
1.600000000000000000e+02,4.028600000000000000e+04,7.667329596802271996e-02
1.610000000000000000e+02,4.028300000000000000e+04,1.057038286042933858e-02
1.620000000000000000e+02,4.028500000000000000e+04,5.215964045761036470e-03
1.630000000000000000e+02,4.028400000000000000e+04,5.480509727746280500e-03
1.640000000000000000e+02,4.028600000000000000e+04,2.139401097152253753e-02
1.650000000000000000e+02,4.028300000000000000e+04,9.633259968187897829e-03
1.660000000000000000e+02,4.028500000000000000e+04,7.503350860351233609e-03
1.670000000000000000e+02,4.028400000000000000e+04,1.930082827186167110e-02
1.680000000000000000e+02,4.028300000000000000e+04,3.185839521946643230e-03
1.690000000000000000e+02,4.028600000000000000e+04,3.442921825876237019e-02
1.700000000000000000e+02,4.028400000000000000e+04,8.199404552652431611e-04
1.710000000000000000e+02,4.028300000000000000e+04,5.663860613663609239e-03
1.720000000000000000e+02,4.028500000000000000e+04,1.428526061639823382e-02
1.730000000000000000e+02,4.028600000000000000e+04,1.126102202176820950e-02
1.740000000000000000e+02,4.028400000000000000e+04,4.217220048293955463e-03
1.750000000000000000e+02,4.028300000000000000e+04,1.310406318051752714e-02
1.760000000000000000e+02,4.028500000000000000e+04,1.738773290895058443e-02
1.770000000000000000e+02,4.028600000000000000e+04,3.719099905827224876e-03
1.780000000000000000e+02,4.028400000000000000e+04,5.988949128509623437e-03
1.790000000000000000e+02,4.028500000000000000e+04,1.921605765456773085e-01
1.800000000000000000e+02,4.028300000000000000e+04,4.738486940419510580e-03
1.810000000000000000e+02,4.028600000000000000e+04,9.027357625142404599e-03
1.820000000000000000e+02,4.028500000000000000e+04,1.951597700290123860e-02
1.830000000000000000e+02,4.028400000000000000e+04,1.842309852746219084e-02
1.840000000000000000e+02,4.028300000000000000e+04,3.182103263865657117e-02
1.850000000000000000e+02,4.028600000000000000e+04,1.036486238304694246e-01
1.860000000000000000e+02,4.028500000000000000e+04,1.818552788690313768e-02
1.870000000000000000e+02,4.028400000000000000e+04,5.095955450884681256e-03
1.880000000000000000e+02,4.028300000000000000e+04,1.479827163681843305e-02
1.890000000000000000e+02,4.028600000000000000e+04,5.462888923426347486e-03
1.900000000000000000e+02,4.028400000000000000e+04,5.140694926719912954e-03
1.910000000000000000e+02,4.028500000000000000e+04,4.185775930174397662e-03
1.920000000000000000e+02,4.028300000000000000e+04,2.695578803699996868e-03
1.930000000000000000e+02,4.028600000000000000e+04,4.422791932816640473e-03
1.940000000000000000e+02,4.028400000000000000e+04,8.903774868544525947e-03
1.950000000000000000e+02,4.028500000000000000e+04,1.278771578091325405e-02
1.960000000000000000e+02,4.028300000000000000e+04,5.014214737404688871e-02
1.970000000000000000e+02,4.028600000000000000e+04,2.218408349041684977e-02
1.980000000000000000e+02,4.028400000000000000e+04,3.855357526557530445e-02
1.990000000000000000e+02,4.028500000000000000e+04,1.375284957826524747e-02
