study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
mesh,2,196,196,7258,40,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0013329531393537764,-1.7006122837844313e-11,-1.1172174276685918e-12,-1.2021775064205253e-07,-3.030972374667353e-05,-2.8052894431876953e-06,2.830892324447632
mesh,1,3001,3001,7261,40,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.17089121369645,6.655894014000782e-10,1.7344773183640572e-09,-5.7440870132117735e-06,0.008499920796113452,0.06331554161420398,5.719104528427124
mesh,0,7454,7454,7260,40,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,6.504500003531575,4.105107104410503e-09,3.0101246450357274e-09,7.364637094698898e-07,0.12362735589638459,0.8395625047815356,5.983404159545898
mesh,3,4669,4669,7266,20,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.515531436656602,2.2144480306356793e-10,1.3673529268545922e-10,-4.927012443547278e-06,0.0027074848887446517,0.025074655927487352,1.6407723426818848
mesh,4,4810,4810,7266,5,10,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-3.2146226754412055,4.84686051475284e-10,2.0217691250951616e-10,-3.0809884869068184e-06,0.006344937706765814,0.036531338584449694,0.9952161312103271
mesh,4,4810,4810,7266,10,10,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-2.9166143687907606,3.5868870252649593e-10,1.8072956964140025e-10,-2.7953686010001155e-06,0.004695529130091596,0.03265601902235555,0.9665107727050781
mesh,2,196,196,7256,80,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.001547810063129873,-1.697815483875337e-11,-1.1558311426166939e-12,-1.3959548818108982e-07,-3.025987685715752e-05,-2.9022469773466613e-06,8.405389308929443
mesh,3,4669,4669,7258,40,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.780674051959068,2.1361573018813782e-10,1.3553745649471874e-10,-5.216316367843989e-06,0.0026117630826337952,0.024854995518309733,6.700595140457153
mesh,4,4810,4810,7266,20,10,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-2.5774281275225803,3.254065853595105e-10,1.7518080778464933e-10,-2.4702825769861054e-06,0.004259838935312858,0.03165341345479893,3.5050735473632812
mesh,4,4810,4810,7256,40,10,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-2.225628317683004,3.1698310332549274e-10,1.7378381618472605e-10,-2.1331073395648177e-06,0.004149568650832371,0.03140099109606879,6.411210775375366
mesh,5,9368,9368,7256,5,10,,1,0.05,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904,2.7881324878310298e-08,1.6441753802019697e-09,4089628.29039094,110.15868679666892,3.7128128441754133e-09,8.238041539062093e-10,2.693611227590039e-05,0.13316486430900273,0.5010439663711627,0.8862495422363281
mesh,5,9368,9368,7256,10,10,,1,0.05,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904,2.7881324878310298e-08,1.6441753802019697e-09,4089628.29039094,180.33211536239833,3.398099227398065e-09,7.860312196617785e-10,4.409498921603945e-05,0.12187725089210327,0.47807017981574623,1.0951368808746338
mesh,1,3001,3001,7264,80,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.376379555556923,6.648629600396646e-10,1.7333722305543371e-09,-5.841067825472988e-06,0.008490643764337483,0.0632752013731049,19.586864948272705
mesh,5,9368,9368,7256,20,10,,1,0.05,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904,2.7881324878310298e-08,1.6441753802019697e-09,4089628.29039094,247.15571855427697,3.3095138692038475e-09,7.774802140765398e-10,6.04347635052795e-05,0.11870002174030171,0.47286939303338466,2.2748987674713135
mesh,5,9368,9368,7264,40,10,,1,0.05,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904,2.7881324878310298e-08,1.6441753802019697e-09,4089628.29039094,310.01820344431326,3.287147299538639e-09,7.754474262306628e-10,7.580596118545475e-05,0.11789781561262203,0.4716330359693181,6.980041742324829
mesh,0,7454,7454,7262,80,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,30.77772031351924,4.103850575843683e-09,3.0091700857618583e-09,3.4847680926765218e-06,0.12358951490944485,0.8392962659145659,28.595536708831787
mesh,6,9672,9672,7262,5,10,,1,0.05,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236,2.495633028573663e-08,4.395812780569412e-10,8110076.403883297,3.84411012660712,9.901947077273447e-09,6.079377574067095e-10,4.7399185102207777e-07,0.396770958065607,1.3829928337574928,0.8530917167663574
mesh,3,4669,4669,7261,80,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-5.046120994025841,2.1165235000441354e-10,1.352374723532777e-10,-5.5059523508973895e-06,0.0025877579034435287,0.02479998412379259,24.505493879318237
mesh,6,9672,9672,7262,10,10,,1,0.05,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236,2.495633028573663e-08,4.395812780569412e-10,8110076.403883297,71.73684166930616,9.579220775148454e-09,6.012786727578665e-10,8.84539652856499e-06,0.38383931713803676,1.367844134344547,1.2118830680847168
mesh,6,9672,9672,7261,20,10,,1,0.05,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236,2.495633028573663e-08,4.395812780569412e-10,8110076.403883297,140.22663205582649,9.48936638141259e-09,6.010035118845574e-10,1.7290420591929647e-05,0.38023885213749065,1.36721817303308,2.6055331230163574
mesh,6,9672,9672,7262,40,10,,1,0.05,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236,2.495633028573663e-08,4.395812780569412e-10,8110076.403883297,203.80743152555078,9.46667717352559e-09,6.010443298805524e-10,2.5130149381572157e-05,0.37932969571796815,1.3673110295718647,6.6594483852386475
mesh,4,4810,4810,7258,80,10,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-1.8702326813945547,3.148711120030029e-10,1.7343394974763248e-10,-1.7924857567996332e-06,0.004121920953240002,0.03133777374293902,26.42721652984619
mesh,7,8287,8287,7258,5,10,,1,0.05,1.137424779865503e-06,-6.776846177165529,0.04999696204333709,1.3804490804963177e-20,-1435.2838507173944,-27.95974303166605,-5.189265500724596e-07,77.25461415577477,5.5570562417996335e-08,3.1993007856589657e-16,-2.9141154693767906,4663.2296998584925,-8.954035962964332e-10,-2.8630029285907978e-12,-1600.2213189087408,-0.01611291225669618,-8948.839513384797,0.7424008846282959
mesh,7,8287,8287,7258,10,10,,1,0.05,1.137424779865503e-06,-6.776846177165529,0.04999696204333709,1.3804490804963177e-20,-1435.2838507173944,-27.95974303166605,-5.189265500724596e-07,77.25461415577477,5.5570562417996335e-08,3.1993007856589657e-16,-2.9141154693767906,5409.863110267814,-1.0289047947008476e-09,-8.319693827935751e-13,-1856.4340250473194,-0.01851528489061396,-2600.4725361332758,1.5120477676391602
mesh,2,196,196,7259,160,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0017631309819989838,-1.697114120001522e-11,-1.1654993432245077e-12,-1.5901507298747977e-07,-3.0247376568018172e-05,-2.9265234524785607e-06,39.8352255821228
mesh,7,8287,8287,7258,20,10,,1,0.05,1.137424779865503e-06,-6.776846177165529,0.04999696204333709,1.3804490804963177e-20,-1435.2838507173944,-27.95974303166605,-5.189265500724596e-07,77.25461415577477,5.5570562417996335e-08,3.1993007856589657e-16,-2.9141154693767906,5661.846556137601,-1.0812016557912673e-09,-3.145835359861195e-13,-1942.9039842914792,-0.01945637417988636,-983.2884028793316,6.596675634384155
mesh,5,9368,9368,7256,80,10,,1,0.05,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904,2.7881324878310298e-08,1.6441753802019697e-09,4089628.29039094,371.99406699696556,3.281600906745717e-09,7.749519414054475e-10,9.096036132941694e-05,0.11769888701733003,0.4713316783214774,28.146799325942993
mesh,6,9672,9672,7261,80,10,,1,0.05,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236,2.495633028573663e-08,4.395812780569412e-10,8110076.403883297,266.266758967191,9.461051906160073e-09,6.010639908241528e-10,3.2831596856436045e-05,0.37910429128946804,1.3673557560981793,24.919061183929443
mesh,8,5433,5433,7261,5,10,,1,0.05,1.8262410782684164e-06,-6.78859555842355,0.04930404700114541,0.0,-1475.9238632298277,67.47706343624013,-5.137231760888911e-07,76.68841458386045,8.8774716173656e-08,-3.2824192093396117e-15,-2.9541748292305274,1137.6375277352083,-5.612396770590386e-10,-8.159101620592296e-13,-385.0948550771886,-0.006322066701527649,248.56976212474157,0.7538950443267822
mesh,8,5433,5433,7261,10,10,,1,0.05,1.8262410782684164e-06,-6.78859555842355,0.04930404700114541,0.0,-1475.9238632298277,67.47706343624013,-5.137231760888911e-07,76.68841458386045,8.8774716173656e-08,-3.2824192093396117e-15,-2.9541748292305274,1296.2083290282305,-6.482222448529836e-10,-2.211076410285936e-13,-438.7717057916485,-0.007301879102434622,67.36118299559858,1.317887306213379
mesh,8,5433,5433,7261,20,10,,1,0.05,1.8262410782684164e-06,-6.78859555842355,0.04930404700114541,0.0,-1475.9238632298277,67.47706343624013,-5.137231760888911e-07,76.68841458386045,8.8774716173656e-08,-3.2824192093396117e-15,-2.9541748292305274,1355.3456597854047,-6.795169280406055e-10,-1.5036947858558e-13,-458.7899288744637,-0.007654397077557235,45.81056501184465,5.462635040283203
mesh,7,8287,8287,7259,40,10,,1,0.05,1.137424779865503e-06,-6.776846177165529,0.04999696204333709,1.3804490804963177e-20,-1435.2838507173944,-27.95974303166605,-5.189265500724596e-07,77.25461415577477,5.5570562417996335e-08,3.1993007856589657e-16,-2.9141154693767906,5864.6013472885725,-1.1087276065494103e-09,-5.369401887311335e-14,-2012.4807712381998,-0.01995170749235305,-167.83048069065472,33.67933964729309
mesh,1,3001,3001,7255,160,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.580693878233433,6.646810688338485e-10,1.73309591093577e-09,-5.937494556013361e-06,0.00848832091959312,0.06326511457282047,88.44136238098145
mesh,8,5433,5433,7261,40,10,,1,0.05,1.8262410782684164e-06,-6.78859555842355,0.04930404700114541,0.0,-1475.9238632298277,67.47706343624013,-5.137231760888911e-07,76.68841458386045,8.8774716173656e-08,-3.2824192093396117e-15,-2.9541748292305274,1399.5977593065247,-6.955187377524029e-10,-1.407305578281456e-14,-473.7694416247793,-0.007834648960092073,4.2874035536874375,32.44319772720337
mesh,9,1423,1423,7261,5,10,,1,0.05,4.732415797210317e-06,313170.34575993917,0.046661693610600595,4.417437057588217e-19,5278385.634695229,-91365034.81616047,-4.172654340505899e-07,2326963.042338559,2.153566496064186e-07,7.77596864135789e-08,429518.4978768671,-0.8638703391770832,1.3459120378439392e-10,3.6399888928771043e-10,-2.011252934267652e-06,0.0006249688785109262,0.0046810745525865,0.6598193645477295
mesh,9,1423,1423,7261,10,10,,1,0.05,4.732415797210317e-06,313170.34575993917,0.046661693610600595,4.417437057588217e-19,5278385.634695229,-91365034.81616047,-4.172654340505899e-07,2326963.042338559,2.153566496064186e-07,7.77596864135789e-08,429518.4978768671,-1.0923789570806548,1.1030289962525204e-10,3.36484951271554e-10,-2.543264056100825e-06,0.0005121871083471969,0.004327241618258312,0.7990798950195312
mesh,3,4669,4669,7260,160,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-5.31195470772218,2.1116106216042876e-10,1.3516245521297962e-10,-5.796010350419594e-06,0.002581751194795546,0.024786227404918513,93.40579676628113
mesh,9,1423,1423,7261,20,10,,1,0.05,4.732415797210317e-06,313170.34575993917,0.046661693610600595,4.417437057588217e-19,5278385.634695229,-91365034.81616047,-4.172654340505899e-07,2326963.042338559,2.153566496064186e-07,7.77596864135789e-08,429518.4978768671,-1.3190446412190795,1.0392189736453513e-10,3.292590170460507e-10,-3.070984480852833e-06,0.00048255717923946463,0.004234315134642227,1.5212194919586182
mesh,9,1423,1423,7260,40,10,,1,0.05,4.732415797210317e-06,313170.34575993917,0.046661693610600595,4.417437057588217e-19,5278385.634695229,-91365034.81616047,-4.172654340505899e-07,2326963.042338559,2.153566496064186e-07,7.77596864135789e-08,429518.4978768671,-1.5457499837502837,1.0230670870839868e-10,3.2743080641873484e-10,-3.5987972378163185e-06,0.00047505711523360123,0.004210804100690879,4.5438408851623535
mesh,0,7454,7454,7253,160,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,55.11388513073325,4.103553201447134e-09,3.0089331819056876e-09,6.240199287360977e-06,0.12358055933059599,0.8392301903800503,110.48522281646729
mesh,10,1231,1231,7253,5,10,,1,0.05,3.3093953586562705e-06,981015.153914749,0.04992449714317386,0.0,283217069.5772312,-61136299.214691535,-3.607404470683357e-07,4354881.833883149,8.55578323086361e-08,1.7001769628015563e-08,1198759.2456089065,-3.4646550884936005,-7.809057645734412e-10,3.463689720057468e-10,-2.890200931658916e-06,-0.00912722708724608,0.020372524718544536,0.7026412487030029
mesh,10,1231,1231,7253,10,10,,1,0.05,3.3093953586562705e-06,981015.153914749,0.04992449714317386,0.0,283217069.5772312,-61136299.214691535,-3.607404470683357e-07,4354881.833883149,8.55578323086361e-08,1.7001769628015563e-08,1198759.2456089065,-3.97305134893395,-7.629637309279472e-10,3.339905230453215e-10,-3.3143029874325176e-06,-0.008917520586258876,0.019644456450872677,0.8012731075286865
mesh,10,1231,1231,7253,20,10,,1,0.05,3.3093953586562705e-06,981015.153914749,0.04992449714317386,0.0,283217069.5772312,-61136299.214691535,-3.607404470683357e-07,4354881.833883149,8.55578323086361e-08,1.7001769628015563e-08,1198759.2456089065,-4.450741889420897,-7.582541249190765e-10,3.3073832646827983e-10,-3.712790458738155e-06,-0.008862474708145912,0.0194531706819088,1.625504732131958
